epoch	avg_loss	train_accuracy	dev_accuracy
0	0.35480352651	0.62	0.795625
1	0.19987806707	0.75	0.81125
2	0.144712625438	0.7	0.85625
epoch	avg_loss	train_accuracy	dev_accuracy
0	1.03079440427	0.14	0.07375
1	0.669667023376	0.35	0.32375
2	0.512098345226	0.44	0.5025
3	0.42325046266	0.52	0.583125
4	0.365543272021	0.56	0.659375
5	0.324461721757	0.61	0.6325
6	0.293300238647	0.61	0.711875
7	0.268361145949	0.64	0.760625
8	0.247610284439	0.63	0.776875
9	0.230110713796	0.64	0.783125
epoch	avg_loss	train_accuracy	dev_accuracy
0	1.04304635053	0.0	0.065
1	0.741831148317	0.307692307692	0.19
2	0.604644774321	0.692307692308	1.185
epoch	avg_loss	train_accuracy	dev_accuracy
0	1.05108513727	0.0	0.08
1	0.722019710583	1.15384615385	0.745
2	0.570883491401	1.76923076923	1.61
3	0.478323088703	1.46153846154	1.87
4	0.41796586139	2.07692307692	1.965
5	0.375284883626	1.76923076923	2.16
6	0.34351922738	1.76923076923	2.21
7	0.318994160608	1.76923076923	2.365
8	0.29953689608	1.76923076923	2.345
9	0.283673392247	1.76923076923	2.19
